Var1,Var2,Var3,Var4
20.7,44.8760885,21663.1101,482.751828
20.8,46.710869,22515.2922,482.015321
20.9,47.2120413,22746.2854,481.790104
21,47.3255318,22797.3497,481.713542
21.1,47.3161514,22791.4391,481.684127
21.2,47.3088317,22786.4846,481.653926
21.3,47.2797171,22771.4299,481.632107
21.4,47.2432121,22752.9523,481.613149
21.5,47.2369609,22748.4977,481.582588
21.6,47.2826091,22768.0922,481.532084
21.7,48.4159466,23290.7124,481.063496
21.8,49.3820444,23735.8944,480.658396
21.9,49.3612643,23724.5997,480.631927
22,49.3636773,23724.0132,480.596558
22.1,49.3733668,23726.7857,480.558391
22.2,47.4761248,22846.8275,481.253144
22.3,24.3063109,11755.2339,490.127041
22.4,2.67790169,1332.66523,498.424675
22.5,0.484711592,242,499.265964
22.6,0.484711858,242,499.265689
22.7,0.484712125,242,499.265414
22.8,0.484712392,242,499.265139
22.9,0.484712659,242,499.264864
23,0.484712926,242,499.264589
23.1,0.484713193,242,499.264315
23.2,0.48471346,242,499.26404
23.3,0.484713727,242,499.263765
23.4,0.484713993,242,499.26349
23.5,0.48471426,242,499.263215
23.6,0.484714527,242,499.26294
23.7,0.484714794,242,499.262665
23.8,0.484715061,242,499.26239
23.9,0.484715328,242,499.262115
24,0.484715595,242,499.261841
24.1,1.76492945,879.7307,498.769601
24.2,5.06427783,2517.88482,497.500715
24.3,11.60177,5735.40192,494.985594
24.4,21.0294375,10323.2473,491.35612
24.5,29.2533818,14276.8423,488.183873
24.6,34.3481953,16699.0478,486.209436
24.7,38.2108059,18519.4731,484.705626
24.8,42.2394227,20405.7515,483.135833
24.9,43.4603997,20975.6798,482.642686
25,38.6763442,18731.1425,484.456481
25.1,29.852841,14554.0323,487.825281
25.2,16.5461596,8129.83089,492.921895
25.3,4.38119646,2173.50346,497.587308
25.4,0.484890151,242,499.082111
25.5,0.484890418,242,499.081836
25.6,0.484890685,242,499.081561
25.7,0.484890952,242,499.081286
25.8,0.48489122,242,499.081011
25.9,0.621945359,310.361729,499.028068
26,2.29302463,1141.98714,498.385548
26.1,7.17676513,3559.109,496.507507
26.2,18.9637739,9303.92025,491.973886
26.3,33.2259124,16149.1491,486.482431
26.4,18.6776963,9048.18885,492.054234
26.5,0.484936099,242,499.034822
26.6,0.484936366,242,499.034547
26.7,0.484936634,242,499.034272
26.8,0.484936901,242,499.033997
26.9,1.24964956,623.049313,498.739856
27,3.17254159,1579.39807,498.000212
27.1,7.14620347,3545.06341,496.471401
27.2,14.6075316,7202.02132,493.600084
27.3,23.8056024,11658.1054,490.057137
27.4,28.6745144,13997.9987,488.172599
27.5,14.0190089,6843.69716,493.788211
27.6,0.484988247,242,498.981164
27.7,0.484988515,242,498.980889
27.8,0.484988782,242,498.980614
27.9,1.31152236,653.772816,498.662716
28,3.2539642,1619.70085,497.915524
28.1,6.38997013,3172.49372,496.708564
28.2,12.4100285,6129.4083,494.391532
28.3,22.0708597,10817.4682,490.672
28.4,27.7550644,13557.6036,488.475141
28.5,15.5252426,7602.22278,493.159125
28.6,2.28205198,1135.62068,498.239462
28.7,0.485039215,242,498.928731
28.8,1.46123461,728.176299,498.55332
28.9,4.57414509,2273.25469,497.356252
29,9.72632416,4814.75361,495.373762
29.1,16.2342656,7996.64382,492.867353
29.2,23.2979423,11414.4563,490.143696
29.3,29.6009438,14433.6378,487.708349
29.4,35.8922691,17412.9416,485.273915
29.5,38.1427279,18475.561,484.388754
29.6,34.5445007,16777.5381,485.749869
29.7,30.6509141,14933.1839,487.226526
29.8,28.8891096,14094.5383,487.886182
29.9,28.428531,13874.452,488.046797
30,27.4533228,13408.0786,488.405437
30.1,26.528475,12965.6629,488.745277
30.2,26.5412118,12971.3573,488.725343
30.3,28.6450411,13974.5833,487.90183
30.4,34.6559353,16821.917,485.575704
30.5,43.0393681,20752.0309,482.334442
30.6,46.9962038,22595.2745,480.789496
30.7,44.2116121,21300.2475,481.832926
30.8,37.3431694,18083.8722,484.447291
30.9,31.1226139,15149.3711,486.816577
31,28.4731747,13889.5427,487.817069
31.1,29.8356859,14536.896,487.277336
31.2,36.5589581,17710.806,484.67678
31.3,44.3919594,21377.1871,481.645962
31.4,47.4277176,22786.8464,480.454204
31.5,47.3999238,22772.7245,480.437997
31.6,47.3572324,22751.7183,480.427531
31.7,47.3493788,22746.8166,480.403701
31.8,47.9981457,23045.0845,480.127548
31.9,49.0704092,23538.407,479.688284
32,49.5041239,23736.9204,479.493796
32.1,49.481287,23725.0158,479.474508
32.2,49.4813827,23723.6716,479.446419
32.3,49.4910187,23726.7201,479.414665
32.4,49.4900269,23724.875,479.386989
32.5,49.4790363,23718.4271,479.363156
32.6,49.4591598,23707.8895,479.342744
32.7,49.4372974,23696.439,479.323106
32.8,49.4340434,23693.5555,479.29633
32.9,49.4446756,23697.0638,479.264219
33,49.4511974,23698.6794,479.233682
33.1,49.4523387,23697.8183,479.205209
33.2,49.4486483,23694.7337,479.178592
33.3,49.4406313,23689.6585,479.15364
33.4,49.4642119,23699.1219,479.11655
33.5,47.3317458,22713.3138,479.907979
33.6,42.5356265,20487.6507,481.724216
33.7,38.9157028,18799.4601,483.091178
33.8,39.6057438,19120.8762,482.803945
33.9,46.7095283,22411.9921,480.051626
34,51.7793132,24754.4934,478.076911
34.1,51.792254,24758.9031,478.042584
34.2,35.5672129,17133.4091,484.248237
34.3,10.2060348,5000.91172,493.973954
34.4,12.1120118,5927.70507,493.235733
34.5,26.8546013,13086.7663,487.563534
34.6,39.3598823,18975.1944,482.742737
34.7,49.5679259,23730.7932,478.797641
34.8,51.8220679,24765.9378,477.903311
34.9,51.8266997,24766.5365,477.872152
35,51.8290873,24766.1071,477.841853
35.1,24.7038785,11809.2613,488.23624
35.2,0.486404189,242,497.528609
35.3,0.486404459,242,497.528334
35.4,0.486404729,242,497.528058
35.5,0.486404998,242,497.527782
35.6,0.486405268,242,497.527506
35.7,0.486405538,242,497.52723
35.8,0.486405808,242,497.526954
35.9,0.486406077,242,497.526679
36,0.486406347,242,497.526403
36.1,0.486406617,242,497.526127
36.2,0.486406886,242,497.525851
36.3,0.486407156,242,497.525575
36.4,0.486407426,242,497.525299
36.5,0.486407695,242,497.525023
36.6,0.486407965,242,497.524748
36.7,0.486408235,242,497.524472
36.8,0.486408504,242,497.524196
36.9,0.486408774,242,497.52392
37,0.486409044,242,497.523644
37.1,0.486409313,242,497.523368
37.2,0.486409583,242,497.523092
37.3,0.486409853,242,497.522817
37.4,0.486410123,242,497.522541
37.5,0.486410392,242,497.522265
37.6,0.486410662,242,497.521989
37.7,0.938200258,466.542028,497.348098
37.8,3.08408925,1530.27868,496.522936
37.9,6.26734385,3103.29154,495.297916
38,9.25153103,4570.81428,494.147589
38.1,11.8867947,5861.1755,493.129656
38.2,14.0618315,6922.08139,492.287087
38.3,15.7742059,7754.71945,491.621078
38.4,17.1065535,8400.88976,491.100136
38.5,18.2485984,8953.58711,490.651569
38.6,19.4577128,9537.54575,490.176581
38.7,20.9971484,10279.3629,489.573971
38.8,22.7964892,11144.1989,488.87061
38.9,24.6977997,12055.2956,488.127044
39,27.3343905,13313.551,487.099845
39.1,30.9555929,15033.3991,485.69278
39.2,35.9468423,17386.1566,483.757177
39.3,39.2667376,18944.5696,482.461017
39.4,38.1195159,18406.2571,482.879615
39.5,36.8931978,17831.5436,483.329258
39.6,39.8570678,19215.1982,482.169376
39.7,42.4220175,20411.8212,481.161113
39.8,27.0976173,13115.9824,487.025977
39.9,6.55061379,3226.13797,494.906489
40,0.486693323,242,497.233039
40.1,4.4977504,2223.97589,495.691381
40.2,17.5582122,8584.4366,490.669911
40.3,18.7579234,9177.06464,490.198928
40.4,6.04618364,2980.02026,495.073205
40.5,0.486719606,242,497.206188
40.6,0.486719876,242,497.205912
40.7,1.83537323,910.982509,496.687371
40.8,7.71538597,3807.18799,494.426739
40.9,17.476357,8564.42387,490.671385
41,27.5311839,13393.2732,486.797574
41.1,35.1231728,16991.6007,483.86449
41.2,32.2393912,15623.7924,484.952768
41.3,25.3454362,12356.8309,487.583724
41.4,23.8855988,11659.2687,488.130347
41.5,25.8615146,12602.6977,487.357494
41.6,30.6059466,14856.3595,485.519626
41.7,35.578111,17203.6547,483.591555
41.8,39.2530815,18925.168,482.159155
41.9,43.601388,20946.2825,480.465919
42,46.6824256,22372.7618,479.257209
42.1,47.178308,22600.3054,479.040185
42.2,45.1284064,21651.2866,479.801182
42.3,38.4845944,18554.2462,482.328705
42.4,32.0037573,15513.7557,484.797366
42.5,29.10164,14140.0084,485.894459
42.6,28.7762816,13985.2534,486.002991
42.7,35.7662514,17271.2821,483.300547
42.8,39.1959947,18889.078,481.962277
42.9,17.744037,8569.84533,490.183689
43,0.487112473,242,496.80518
43.1,0.487112744,242,496.804904
43.2,4.8341931,2387.09012,495.134117
43.3,15.56581,7626.81067,491.007394
43.4,32.8295382,15858.7606,484.364404
43.5,44.1718986,21201.2633,479.987111
43.6,28.5401486,13772.164,485.969092
43.7,6.92353422,3407.31594,494.25982
43.8,10.4162835,5104.37708,492.913689
43.9,27.4398302,13319.8931,486.365917
44,41.7852641,20076.9479,480.837648
44.1,44.242491,21226.6379,479.869688
44.2,32.2046433,15574.6605,484.470552
44.3,23.6527535,11536.2659,487.738644
44.4,31.4815354,15235.8869,484.716764
44.5,43.4396623,20848.4215,480.103606
44.6,47.5221743,22739.8415,478.510138
44.7,43.8221863,21025.7711,479.905041
44.8,39.4460373,18995.3416,481.561879
44.9,42.9533024,20618.9996,480.191733
45,48.4030377,23139.4198,478.073139
45.1,49.712128,23739.6608,477.542637
45.2,49.6865667,23726.542,477.524278
45.3,49.6825724,23723.3112,477.497645
45.4,49.6927902,23726.5955,477.465552
45.5,49.6936801,23725.6035,477.437039
45.6,49.6843186,23719.9131,477.412464
45.7,49.6660347,23710.1342,477.391324
45.8,49.6427331,23698.057,477.372122
45.9,49.6357436,23693.4566,477.346665
46,49.6454035,23696.4864,477.314814
46.1,49.6530874,23698.6101,477.283716
46.2,49.6552475,23698.2021,477.254737
46.3,49.6524229,23695.5103,477.227673
46.4,49.6451457,23690.7788,477.202321
46.5,49.633921,23684.2395,477.17849
46.6,49.6191799,23676.0903,477.156016
46.7,50.7985504,24213.8833,476.674674
46.8,51.9358084,24732.2882,476.208846
46.9,52.0094197,24764.3431,476.151116
47,52.0164427,24766.0131,476.118932
47.1,52.0209701,24766.5442,476.087703
47.2,51.3680078,24466.9135,476.309135
47.3,24.2113337,11542.1563,486.715874
47.4,0.488081728,242,495.818602
47.5,0.488082001,242,495.818325
47.6,0.488082273,242,495.818048
47.7,0.488082546,242,495.817771
47.8,0.488082818,242,495.817494
47.9,0.488083091,242,495.817218
48,0.488083363,242,495.816941
48.1,0.488083636,242,495.816664
48.2,0.488083908,242,495.816387
48.3,0.488084181,242,495.81611
48.4,0.488084453,242,495.815833
48.5,0.488084726,242,495.815557
48.6,0.488084998,242,495.81528
48.7,0.488085271,242,495.815003
48.8,0.488085543,242,495.814726
48.9,0.488085816,242,495.814449
49,0.488086088,242,495.814173
49.1,0.488086361,242,495.813896
49.2,0.488086633,242,495.813619
49.3,0.488086906,242,495.813342
49.4,0.908658739,450.317279,495.651447
49.5,3.44254336,1701.34866,494.677202
49.6,7.34045884,3618.81245,493.177346
49.7,13.9316318,6827.39945,490.640305
49.8,24.8917775,12092.6846,486.420605
49.9,35.307094,17025.3586,482.40406
50,25.4231081,12294.2687,486.182296
50.1,6.40242618,3144.41854,493.477216
50.2,0.488152869,242,495.746344
50.3,3.01120301,1487.68818,494.776501
50.4,7.22203095,3560.27409,493.156642
50.5,9.7870125,4816.61252,492.166868
50.6,10.9432086,5380.89805,491.717013
50.7,11.9849211,5888.16592,491.310496
50.8,13.9468531,6840.97475,490.549764
50.9,16.2795468,7970.78056,489.645441
51,17.9143193,8760.09923,489.007996
51.1,19.774815,9655.13194,488.282883
51.2,23.2126204,11301.5843,486.95058
51.3,30.2376762,14633.6871,484.237808
51.4,40.6058124,19488.2971,480.236363
51.5,39.865148,19142.7279,480.497968
51.6,26.5059116,12849.754,485.609101
51.7,12.8190707,6277.5355,490.853701
51.8,3.53987096,1746.15382,494.412277
51.9,0.48831383,242,495.582933
52,0.488314103,242,495.582656
52.1,0.488314375,242,495.582379
52.2,0.488314648,242,495.582102
52.3,0.541359103,268.275725,495.561441
52.4,1.83712994,908.960507,495.063191
52.5,3.78948914,1872.94807,494.31189
52.6,5.09798191,2517.31022,493.80691
52.7,6.14216365,3030.45823,493.402758
52.8,8.51039943,4190.06031,492.489202
52.9,13.863374,6794.34121,490.427318
53,23.5276147,11437.003,486.705651
53.1,35.6764018,17182.5597,482.023735
53.2,43.4625389,20817.6166,479.011426
53.3,38.3517925,18428.9646,480.950762
53.4,26.6004951,12902.4749,485.444848
53.5,19.7252726,9626.11937,488.071802
53.6,17.00686,8317.79235,489.105261
53.7,15.4274877,7554.72962,489.702546
53.8,15.0907201,7391.76084,489.823214
53.9,14.7853537,7243.7211,489.932007
54,13.713411,6724.05494,490.335554
54.1,15.4555018,7566.13805,489.658323
54.2,20.1700818,9837.23872,487.837826
54.3,24.2756562,11802.9967,486.248687
54.4,29.4892001,14274.9009,484.231447
54.5,37.6482691,18103.6427,481.079334
54.6,44.247633,21171.6923,478.521964
54.7,47.0545178,22464.4598,477.41824
54.8,47.7635644,22788.9083,477.119089
54.9,47.7508542,22782.1798,477.105177
55,47.7088614,22762.3848,477.110211
55.1,47.6799005,22748.582,477.110517
55.2,47.6843541,22750.1097,477.097994
55.3,48.841554,23279.5092,476.642685
55.4,49.857264,23744.0963,476.241462
55.5,49.8264233,23729.4356,476.242002
55.6,49.8123595,23722.4441,476.236105
55.7,49.8205575,23725.6286,476.221661
55.8,49.8235968,23726.455,476.209196
55.9,49.8162041,23722.5131,476.200737
56,49.7992372,23714.1955,476.195958
56.1,49.7737904,23702.0022,476.194439
56.2,49.7574072,23693.9522,476.189445
56.3,49.7609562,23695.0128,476.176799
56.4,49.7689508,23698.1052,476.162444
56.5,49.7712062,23698.5743,476.150292
56.6,49.7682999,23696.6844,476.140122
56.7,49.7607643,23692.6789,476.131731
56.8,49.7490891,23686.7817,476.124931
56.9,49.7337235,23679.1982,476.119552
57,49.9661401,23784.8109,476.019
57.1,23.9274211,11392.734,486.00949
57.2,0.488881856,242,495.007121
57.3,0.488881966,242,495.00701
57.4,0.488882075,242,495.006899
57.5,0.488882185,242,495.006788
57.6,0.488882295,242,495.006677
57.7,0.488882404,242,495.006566
57.8,0.488882514,242,495.006455
57.9,0.488882623,242,495.006344
58,0.488882733,242,495.006233
58.1,0.488882842,242,495.006122
58.2,0.488882952,242,495.006011
58.3,0.488883061,242,495.005901
58.4,0.488883171,242,495.00579
58.5,0.744985164,368.676096,494.907307
58.6,2.3869717,1179.13868,494.276429
58.7,4.42349217,2182.7591,493.493633
58.8,5.92742284,2921.48862,492.91495
58.9,7.77823075,3828.03076,492.202685
59,10.6601965,5233.94769,491.09392
59.1,15.8621952,7753.82542,489.093345
59.2,25.7752135,12492.5404,485.282025
59.3,31.0443969,15002.0727,483.252217
59.4,15.4217332,7468.57986,489.246051
59.5,1.24322934,614.766894,494.688707
59.6,0.488910451,242,494.978169
59.7,0.488910561,242,494.978058
59.8,0.48891067,242,494.977947
59.9,0.48891078,242,494.977836
60,0.48891089,242,494.977725
60.1,0.488910999,242,494.977614
60.2,0.488911109,242,494.977504
60.3,0.488911218,242,494.977393
60.4,1.09076769,539.52881,494.746101
60.5,2.87326057,1419.03458,494.061174
60.6,5.60526099,2762.55497,493.011124
60.7,8.94139069,4395.50997,491.728401
60.8,12.8040738,6275.47741,490.242665
60.9,17.3518116,8473.90531,488.492915
61,22.6277617,11004.5651,486.462417
61.1,29.172178,14112.4304,483.943488
61.2,34.5943039,16668.1242,481.854162
61.3,34.2092081,16487.1243,481.994237
61.4,30.832472,14900.0656,483.283529
61.5,28.7338253,13909.3483,484.082656
61.6,28.3503294,13727.8626,484.223446
61.7,27.6470882,13394.3387,484.487142
61.8,25.1609683,12213.1404,485.435824
61.9,21.768457,10594.137,486.733227
62,16.8118212,8211.25099,488.632201
62.1,8.46947809,4155.31974,491.832795
62.2,1.95035254,963.20925,494.334957
62.3,0.488991781,242,494.895843
62.4,0.488991891,242,494.895732
62.5,0.488992001,242,494.895621
62.6,0.48899211,242,494.895511
62.7,0.48899222,242,494.8954
62.8,1.0232841,506.110552,494.69006
62.9,5.02096251,2471.85786,493.154266
63,13.2725629,6494.38436,489.983578
63.1,25.2981177,12259.6059,485.361391
63.2,28.6983822,13887.7967,484.049567
63.3,12.4201436,6028.33453,490.295749
63.4,0.489011547,242,494.87584
63.5,0.489011656,242,494.875729
63.6,0.489011766,242,494.875618
63.7,1.11646002,552.104597,494.634496
63.8,3.71146318,1830.69701,493.637467
63.9,8.07764935,3971.64588,491.959515
64,14.3241904,7007.11607,489.558303
64.1,22.6389634,11002.9022,486.36124
64.2,30.8395538,14896.522,483.206149
64.3,27.7014596,13403.5384,484.40454
64.4,11.9775901,5841.48566,490.438007
64.5,1.78940241,883.861761,494.34871
64.6,2.32125728,1145.88407,494.144012
64.7,6.0964265,3002.09855,492.693392
64.8,9.9224804,4872.88375,491.222371
64.9,13.6588356,6688.48215,489.784937
65,18.5843493,9063.77916,487.889884
65.1,25.5674389,12399.3478,485.203372
65.2,33.7115322,16244.6602,482.069319
65.3,41.6034603,19923.8992,479.030279
65.4,43.0850408,20612.6653,478.45175
65.5,37.7225338,18121.5073,480.50179
65.6,32.948535,15891.0629,482.326993
65.7,29.7737825,14395.7763,483.538986
65.8,28.1045331,13607.462,484.173416
65.9,29.1809864,14115.912,483.753563
66,32.2184104,15546.6312,482.58023
66.1,36.0308144,17333.2779,481.108529
66.2,40.681645,19496.5455,479.313912
66.3,45.2007034,21585.0617,477.568856
66.4,47.4616516,22624.4229,476.690146
66.5,47.8727732,22812.4041,476.521466
66.6,47.8430804,22798.2811,476.522015
66.7,44.7516374,21374.5733,477.698631
66.8,38.4140731,18439.0598,480.122826
66.9,35.5400457,17102.4724,481.218067
67,22.7002969,10982.0153,486.141904
67.1,47.740701,22749.2987,476.517902
67.2,47.7426947,22749.6953,476.506311
67.3,48.8906701,23274.2468,476.054532
67.4,49.8389701,23707.3578,475.679191
67.5,49.8920494,23731.0286,475.6475
67.6,49.7922986,23684.9252,475.674502
67.7,45.2444328,21594.4136,477.410107
67.8,36.2662214,17429.4876,480.848498
67.9,28.6898203,13875.4619,483.750472
68,24.0159091,11659.3396,485.539278
68.1,22.5713352,10971.6632,486.088712
68.2,30.3650817,14652.1975,483.089911
68.3,43.6811461,20861.6422,477.968147
68.4,49.6324628,23608.7606,475.672261
68.5,21.5676274,10262.552,486.441085
68.6,0.489350913,242,494.532642
68.7,0.489351023,242,494.532531
68.8,0.489351133,242,494.53242
68.9,2.98193643,1470.03001,493.574874
69,10.3381356,5064.76748,490.748583
69.1,15.6833886,7663.9161,488.693056
69.2,18.9634352,9241.75383,487.429589
69.3,10.5964607,5169.74362,490.639156
69.4,1.58470706,782.383184,494.098288
69.5,0.489364745,242,494.518665
69.6,0.489364854,242,494.518554
69.7,0.489364964,242,494.518443
69.8,0.489365074,242,494.518332
69.9,0.489365184,242,494.518221
70,0.489365294,242,494.51811
70.1,0.489365404,242,494.517999
70.2,0.489365514,242,494.517888
70.3,0.489365623,242,494.517777
70.4,0.489365733,242,494.517666
70.5,0.489365843,242,494.517555
70.6,0.489365953,242,494.517444
70.7,0.489366063,242,494.517333
70.8,0.489366173,242,494.517221
70.9,0.741304445,366.49781,494.420338
71,2.13834589,1055.67509,493.883547
